primaryTitle,startYear,averageRating,numVotes,primaryTitle_clean,title,date_added,release_year,title_clean
Captain Fantastic,2016,7.8,243421,captain fantastic,Captain Fantastic,2021-02-26,2016,captain fantastic
Transcendence,2014,6.2,242783,transcendence,Transcendence,2018-11-01,2014,transcendence
Once Upon a Time,2011,7.7,242509,once upon a time,Once Upon a Time,2020-12-09,2019,once upon a time
Big Daddy,1999,6.4,242424,big daddy,Big Daddy,2020-10-01,1999,big daddy
The Evil Dead,1981,7.4,242021,the evil dead,The Evil Dead,2020-01-10,1981,the evil dead
Chef,2014,7.3,241600,chef,Chef,2020-12-01,2014,chef
The Croods,2013,7.1,241539,the croods,The Croods,2019-07-29,2013,the croods
Stranger Than Fiction,2006,7.5,240597,stranger than fiction,Stranger than Fiction,2020-10-01,2006,stranger than fiction
Rocky II,1979,7.3,239697,rocky ii,Rocky II,2019-08-01,1979,rocky ii
Bolt,2008,6.8,238340,bolt,Bolt,2018-07-22,2008,bolt
Ip Man,2008,8.0,238215,ip man,Ip Man,2016-01-15,2008,ip man
Mad Max,1979,6.8,237952,mad max,Mad Max,2020-08-01,1979,mad max
Willy Wonka & the Chocolate Factory,1971,7.8,236402,willy wonka & the chocolate factory,Willy Wonka & the Chocolate Factory,2020-01-01,1971,willy wonka & the chocolate factory
The Ugly Truth,2009,6.4,236223,the ugly truth,The Ugly Truth,2019-04-25,2009,the ugly truth
Rocky IV,1985,6.9,234949,rocky iv,Rocky IV,2019-08-01,1985,rocky iv
Anger Management,2003,6.3,234635,anger management,Anger Management,2019-11-01,2003,anger management
The End of the F***ing World,2017,8.0,234327,the end of the f***ing world,The End of the F***ing World,2019-11-05,2019,the end of the f***ing world
Die Another Day,2002,6.1,234279,die another day,Die Another Day,2019-12-31,2002,die another day
Downton Abbey,2010,8.7,234195,downton abbey,Downton Abbey,2021-06-02,2015,downton abbey
Get Smart,2008,6.5,233055,get smart,Get Smart,2019-04-01,2008,get smart
Enola Holmes,2020,6.6,232635,enola holmes,Enola Holmes,2020-09-23,2020,enola holmes
Basic Instinct,1992,7.1,231203,basic instinct,Basic Instinct,2020-10-01,1992,basic instinct
Twin Peaks,1990,8.7,230699,twin peaks,Twin Peaks,2017-07-01,1990,twin peaks
Cobra Kai,2018,8.4,230012,cobra kai,Cobra Kai,2021-01-01,2021,cobra kai
Revolutionary Road,2008,7.3,229978,revolutionary road,Revolutionary Road,2019-11-01,2008,revolutionary road
Criminal Minds,2005,8.1,229572,criminal minds,Criminal Minds,2017-06-30,2017,criminal minds
Austin Powers in Goldmember,2002,6.2,228521,austin powers in goldmember,Austin Powers in Goldmember,2021-07-01,2002,austin powers in goldmember
Fracture,2007,7.2,226688,fracture,Fracture,2019-04-01,2007,fracture
A Walk to Remember,2002,7.3,226512,a walk to remember,A Walk to Remember,2020-07-01,2002,a walk to remember
A Series of Unfortunate Events,2004,6.8,226160,a series of unfortunate events,A Series of Unfortunate Events,2019-01-01,2019,a series of unfortunate events
Enemy,2013,6.9,226079,enemy,Enemy,2018-07-15,2013,enemy
Teenage Mutant Ninja Turtles,2014,5.8,225125,teenage mutant ninja turtles,Teenage Mutant Ninja Turtles,2019-05-01,2007,teenage mutant ninja turtles
Dangal,2016,8.3,224462,dangal,Dangal,2017-06-21,2016,dangal
17 Again,2009,6.4,224304,17 again,17 Again,2021-01-01,2009,17 again
P.S. I Love You,2007,7.0,222091,p.s. i love you,P.S. I Love You,2019-04-01,2007,p.s. i love you
Scream 2,1997,6.3,222047,scream 2,Scream 2,2019-10-01,1997,scream 2
The Crow,1994,7.5,221830,the crow,The Crow,2019-01-01,1994,the crow
You Don't Mess with the Zohan,2008,5.6,220538,you don't mess with the zohan,You Don't Mess with the Zohan,2019-09-01,2008,you don't mess with the zohan
Fullmetal Alchemist: Brotherhood,2009,9.1,219482,fullmetal alchemist: brotherhood,Fullmetal Alchemist: Brotherhood,2018-01-01,2010,fullmetal alchemist: brotherhood
Rocky III,1982,6.8,219061,rocky iii,Rocky III,2019-08-01,1982,rocky iii
Blue Valentine,2010,7.3,218068,blue valentine,Blue Valentine,2018-07-05,2010,blue valentine
Air Force One,1997,6.5,217581,air force one,Air Force One,2021-07-01,1997,air force one
Carrie,1976,7.4,217439,carrie,Carrie,2019-06-01,1976,carrie
Blue Jasmine,2013,7.3,216138,blue jasmine,Blue Jasmine,2019-03-08,2013,blue jasmine
The World Is Not Enough,1999,6.4,214574,the world is not enough,The World Is Not Enough,2019-12-31,1999,the world is not enough
Unstoppable,2010,6.8,213433,unstoppable,Unstoppable,2020-02-28,2020,unstoppable
Legend,2015,6.9,213222,legend,Legend,2020-01-16,2015,legend
Klaus,2019,8.2,213187,klaus,Klaus,2019-11-15,2019,klaus
"Love, Death & Robots",2019,8.4,212706,"love, death & robots","Love, Death & Robots",2021-05-14,2021,"love, death & robots"
The Taking of Pelham 123,2009,6.4,212537,the taking of pelham 123,The Taking of Pelham 123,2019-09-01,2009,the taking of pelham 123
Stargate,1994,7.0,211735,stargate,Stargate,2021-05-01,1994,stargate
The Next Three Days,2010,7.3,211394,the next three days,The Next Three Days,2021-01-22,2010,the next three days
Harold & Kumar Go to White Castle,2004,7.0,211118,harold & kumar go to white castle,Harold & Kumar Go to White Castle,2020-01-01,2004,harold & kumar go to white castle
PK,2014,8.1,210078,pk,PK,2018-09-06,2014,pk
The Killer,2023,6.7,210006,the killer,The Killer,2017-11-10,2017,the killer
Tomorrow Never Dies,1997,6.5,209563,tomorrow never dies,Tomorrow Never Dies,2019-12-31,1997,tomorrow never dies
BoJack Horseman,2014,8.8,208855,bojack horseman,BoJack Horseman,2019-10-25,2020,bojack horseman
The Apartment,1960,8.3,208306,the apartment,The Apartment,2018-12-14,2014,the apartment
Madagascar 3: Europe's Most Wanted,2012,6.8,207339,madagascar 3: europe's most wanted,Madagascar 3: Europe's Most Wanted,2021-05-01,2012,madagascar 3: europe's most wanted
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,206767,talladega nights: the ballad of ricky bobby,Talladega Nights: The Ballad of Ricky Bobby,2021-07-01,2006,talladega nights: the ballad of ricky bobby
Bright,2017,6.3,205849,bright,Bright,2017-12-22,2017,bright
The Good Place,2016,8.2,205685,the good place,The Good Place,2020-09-26,2020,the good place
Event Horizon,1997,6.6,205456,event horizon,Event Horizon,2020-01-01,1997,event horizon
The Girl on the Train,2016,6.5,205290,the girl on the train,The Girl on the Train,2021-02-26,2021,the girl on the train
Gossip Girl,2007,7.5,205249,gossip girl,Gossip Girl,2013-10-08,2012,gossip girl
6 Underground,2019,6.1,204596,6 underground,6 Underground,2019-12-13,2019,6 underground
The Mask of Zorro,1998,6.8,203725,the mask of zorro,The Mask of Zorro,2020-01-01,1998,the mask of zorro
The Killing of a Sacred Deer,2017,7.0,203478,the killing of a sacred deer,The Killing of a Sacred Deer,2020-04-05,2017,the killing of a sacred deer
Bridgerton,2020,7.4,203410,bridgerton,Bridgerton,2020-12-25,2020,bridgerton
The Danish Girl,2015,7.1,203195,the danish girl,The Danish Girl,2019-12-16,2015,the danish girl
The Longest Yard,2005,6.4,202807,the longest yard,The Longest Yard,2019-11-20,1974,the longest yard
Layer Cake,2004,7.2,202060,layer cake,Layer Cake,2021-05-13,2004,layer cake
The Invisible Guest,2016,8.0,201969,the invisible guest,The Invisible Guest,2017-07-01,2016,the invisible guest
Charlie's Angels,2000,5.6,201787,charlie's angels,Charlie's Angels,2021-07-01,2000,charlie's angels
Puss in Boots,2011,6.6,201185,puss in boots,Puss in Boots,2020-09-01,2011,puss in boots
The Trial of the Chicago 7,2020,7.7,199928,the trial of the chicago 7,The Trial of the Chicago 7,2020-10-16,2020,the trial of the chicago 7
Swordfish,2001,6.5,199873,swordfish,Swordfish,2021-06-02,2001,swordfish
Jupiter Ascending,2015,5.3,198173,jupiter ascending,Jupiter Ascending,2019-08-01,2015,jupiter ascending
Person of Interest,2011,8.5,197505,person of interest,Person of Interest,2016-09-22,2016,person of interest
Molly's Game,2017,7.4,196549,molly's game,Molly's Game,2020-04-01,2017,molly's game
Mortal Kombat,2021,6.1,196534,mortal kombat,Mortal Kombat,2021-07-01,1995,mortal kombat
Altered Carbon,2018,7.9,196184,altered carbon,Altered Carbon,2020-02-27,2020,altered carbon
About a Boy,2002,7.1,195879,about a boy,About a Boy,2019-02-01,2002,about a boy
Army of the Dead,2021,5.8,194931,army of the dead,Army of the Dead,2021-05-21,2021,army of the dead
The Naked Gun: From the Files of Police Squad!,1988,7.6,194774,the naked gun: from the files of police squad!,The Naked Gun: From the Files of Police Squad!,2021-01-01,1988,the naked gun: from the files of police squad!
That '70s Show,1998,8.1,194287,that '70s show,That '70s Show,2017-11-01,2005,that '70s show
Mud,2012,7.4,194275,mud,Mud,2021-01-01,2012,mud
Cool Hand Luke,1967,8.0,194093,cool hand luke,Cool Hand Luke,2021-01-01,1967,cool hand luke
The Bank Job,2008,7.2,193292,the bank job,The Bank Job,2021-02-01,2008,the bank job
Final Destination 2,2003,6.2,193030,final destination 2,Final Destination 2,2020-01-01,2003,final destination 2
The Master,2012,7.1,191794,the master,The Master,2021-04-15,2012,the master
The Old Guard,2020,6.7,191663,the old guard,The Old Guard,2020-07-10,2020,the old guard
The Founder,2016,7.2,191599,the founder,The Founder,2020-08-21,2016,the founder
Hero,2002,7.9,190560,hero,Hero,2018-08-01,1997,hero
Unbroken,2014,7.2,190416,unbroken,Unbroken,2019-06-26,2019,unbroken
Outlander,2014,8.3,190281,outlander,Outlander,2021-01-27,2018,outlander
xXx,2002,5.8,189956,xxx,XXx,2019-01-01,2002,xxx
Get Him to the Greek,2010,6.3,187996,get him to the greek,Get Him to the Greek,2020-01-16,2010,get him to the greek
Bee Movie,2007,6.1,187815,bee movie,Bee Movie,2017-01-01,2007,bee movie
The Lovely Bones,2009,6.6,185569,the lovely bones,The Lovely Bones,2021-05-01,2009,the lovely bones
The Waterboy,1998,6.2,185213,the waterboy,The Waterboy,2017-03-08,1998,the waterboy
Demon Slayer: Kimetsu no Yaiba,2019,8.6,184868,demon slayer: kimetsu no yaiba,Demon Slayer: Kimetsu no Yaiba,2021-01-22,2019,demon slayer: kimetsu no yaiba
Zack and Miri Make a Porno,2008,6.5,184473,zack and miri make a porno,Zack and Miri Make a Porno,2021-05-01,2008,zack and miri make a porno
Resident Evil: Afterlife,2010,5.8,183261,resident evil: afterlife,Resident Evil: Afterlife,2020-01-01,2010,resident evil: afterlife
Steve Jobs,2015,7.2,183137,steve jobs,Steve Jobs,2020-01-16,2015,steve jobs
Milk,2008,7.5,182596,milk,Milk,2017-02-16,2008,milk
Team America: World Police,2004,7.2,182088,team america: world police,Team America: World Police,2021-08-01,2004,team america: world police
Immortals,2011,6.0,180018,immortals,Immortals,2019-03-08,2018,immortals
Coach Carter,2005,7.3,179811,coach carter,Coach Carter,2020-01-01,2005,coach carter
The Promise,2016,6.1,179561,the promise,The Promise,2020-04-25,2008,the promise
Murder Mystery,2019,6.1,179193,murder mystery,Murder Mystery,2019-06-14,2019,murder mystery
The Gift,2015,7.0,179173,the gift,The Gift,2021-06-17,2021,the gift
The Last Airbender,2010,4.0,178209,the last airbender,The Last Airbender,2020-04-08,2010,the last airbender
The Last Kingdom,2015,8.5,177290,the last kingdom,The Last Kingdom,2020-04-26,2020,the last kingdom
Beowulf,2007,6.3,177181,beowulf,Beowulf,2021-08-01,2007,beowulf
The Princess and the Frog,2009,7.2,177090,the princess and the frog,The Princess and the Frog,2019-07-16,2009,the princess and the frog
The Ballad of Buster Scruggs,2018,7.2,175957,the ballad of buster scruggs,The Ballad of Buster Scruggs,2018-11-16,2018,the ballad of buster scruggs
One Day,2011,7.0,174486,one day,One Day,2018-09-05,2016,one day
Roma,2018,7.6,173999,roma,ROMA,2018-12-14,2018,roma
Four Weddings and a Funeral,1994,7.1,173471,four weddings and a funeral,Four Weddings and a Funeral,2019-08-01,1994,four weddings and a funeral
Scream 3,2000,5.7,173333,scream 3,Scream 3,2019-07-01,2000,scream 3
How to Get Away with Murder,2014,8.1,173210,how to get away with murder,How to Get Away with Murder,2020-06-13,2020,how to get away with murder
Saving Mr. Banks,2013,7.5,172786,saving mr. banks,Saving Mr. Banks,2019-03-02,2013,saving mr. banks
Underworld: Rise of the Lycans,2009,6.5,171610,underworld: rise of the lycans,Underworld: Rise of the Lycans,2021-07-01,2009,underworld: rise of the lycans
Invictus,2009,7.3,171046,invictus,Invictus,2019-11-01,2009,invictus
The IT Crowd,2006,8.5,170567,the it crowd,The IT Crowd,2017-08-01,2013,the it crowd
Wild Wild West,1999,4.9,170402,wild wild west,Wild Wild West,2020-01-01,1999,wild wild west
Next,2007,6.2,170381,next,Next,2019-07-01,2007,next
NCIS,2003,7.8,170348,ncis,NCIS,2018-07-01,2017,ncis
War Horse,2011,7.2,169284,war horse,War Horse,2019-05-06,2011,war horse
The Disaster Artist,2017,7.3,168215,the disaster artist,The Disaster Artist,2020-06-01,2017,the disaster artist
Snowden,2016,7.3,168097,snowden,Snowden,2020-11-01,2016,snowden
Monster,2003,7.3,167513,monster,Monster,2021-05-07,2021,monster
Sense8,2015,8.2,167367,sense8,Sense8,2016-12-23,2018,sense8
The Green Hornet,2011,5.8,166726,the green hornet,The Green Hornet,2020-04-18,2011,the green hornet
Memoirs of a Geisha,2005,7.3,166674,memoirs of a geisha,Memoirs of a Geisha,2021-07-01,2005,memoirs of a geisha
Planet Earth II,2016,9.4,166103,planet earth ii,Planet Earth II,2017-12-25,2016,planet earth ii
Friday the 13th,1980,6.4,165996,friday the 13th,Friday the 13th,2020-01-01,2009,friday the 13th
The Last Dance,2020,9.0,165658,the last dance,The Last Dance,2021-06-19,2020,the last dance
The Spectacular Now,2013,7.0,165263,the spectacular now,The Spectacular Now,2018-07-15,2013,the spectacular now
The King,2019,7.3,164584,the king,The King,2019-11-01,2019,the king
Underworld: Awakening,2012,6.3,164386,underworld: awakening,Underworld: Awakening,2021-07-01,2012,underworld: awakening
Under the Skin,2013,6.3,164217,under the skin,Under The Skin,2018-07-15,2013,under the skin
Rounders,1998,7.3,164105,rounders,Rounders,2019-11-01,1998,rounders
Locke,2013,7.1,164074,locke,Locke,2018-07-15,2013,locke
The Visit,2015,6.3,163852,the visit,The Visit,2020-02-26,2015,the visit
State of Play,2009,7.1,163755,state of play,State of Play,2021-05-01,2009,state of play
Jay and Silent Bob Strike Back,2001,6.8,163740,jay and silent bob strike back,Jay and Silent Bob Strike Back,2019-01-01,2001,jay and silent bob strike back
Crimson Peak,2015,6.5,163355,crimson peak,Crimson Peak,2021-04-16,2015,crimson peak
Final Destination 3,2006,5.8,162627,final destination 3,Final Destination 3,2020-01-01,2006,final destination 3
"Love, Rosie",2014,7.1,162210,"love, rosie","Love, Rosie",2019-11-20,2014,"love, rosie"
Hush,2016,6.6,162196,hush,Hush,2016-04-08,2016,hush
The Time Traveler's Wife,2009,7.1,161915,the time traveler's wife,The Time Traveler's Wife,2019-10-01,2009,the time traveler's wife
The Lake House,2006,6.8,161383,the lake house,The Lake House,2019-09-01,2006,the lake house
The Devil All the Time,2020,7.1,161112,the devil all the time,The Devil All The Time,2020-09-16,2020,the devil all the time
Ray,2004,7.7,161074,ray,Ray,2021-06-25,2021,ray
After Life,2019,8.4,160896,after life,After Life,2020-04-24,2020,after life
Gilmore Girls,2000,8.2,160867,gilmore girls,Gilmore Girls,2021-04-15,2006,gilmore girls
Dear John,2010,6.3,160804,dear john,Dear John,2021-09-01,2010,dear john
Schitt's Creek,2015,8.5,160523,schitt's creek,Schitt's Creek,2021-06-19,2020,schitt's creek
Cold Mountain,2003,7.2,160386,cold mountain,Cold Mountain,2021-09-01,2003,cold mountain
Bodyguard,2018,8.0,160204,bodyguard,Bodyguard,2020-11-19,2011,bodyguard
Riverdale,2017,6.5,160177,riverdale,Riverdale,2021-06-19,2019,riverdale
Brothers,2009,7.1,159922,brothers,Brothers,2020-04-01,2015,brothers
Remember Me,2010,7.1,159223,remember me,Remember Me,2020-08-01,2010,remember me
Evan Almighty,2007,5.4,158974,evan almighty,Evan Almighty,2019-04-16,2007,evan almighty
Defiance,2008,7.1,158499,defiance,Defiance,2019-11-27,2008,defiance
Glee,2009,6.8,158486,glee,Glee,2021-06-19,2015,glee
I Am Sam,2001,7.6,158299,i am sam,I Am Sam,2021-06-02,2001,i am sam
Tremors,1990,7.2,158156,tremors,Tremors,2020-01-01,1990,tremors
Mr. Deeds,2002,5.8,158000,mr. deeds,Mr. Deeds,2020-08-01,2002,mr. deeds
Starsky & Hutch,2004,6.1,157696,starsky & hutch,Starsky & Hutch,2021-06-02,2004,starsky & hutch
Rebecca,1940,8.1,157619,rebecca,Rebecca,2020-10-21,2020,rebecca
Midnight Mass,2021,7.7,157058,midnight mass,Midnight Mass,2021-09-24,2021,midnight mass
Labyrinth,1986,7.3,157047,labyrinth,Labyrinth,2021-09-01,1986,labyrinth
S.W.A.T.,2003,6.1,156987,s.w.a.t.,S.W.A.T.,2021-01-01,2003,s.w.a.t.
The Texas Chainsaw Massacre,2003,6.2,156967,the texas chainsaw massacre,The Texas Chainsaw Massacre,2019-10-22,1974,the texas chainsaw massacre
Killing Them Softly,2012,6.2,156695,killing them softly,Killing Them Softly,2021-06-28,2012,killing them softly
Kung Fu Hustle,2004,7.7,156612,kung fu hustle,Kung Fu Hustle,2020-04-01,2004,kung fu hustle
Vantage Point,2008,6.6,155822,vantage point,Vantage Point,2019-11-01,2008,vantage point
The Imaginarium of Doctor Parnassus,2009,6.8,155793,the imaginarium of doctor parnassus,The Imaginarium of Doctor Parnassus,2019-03-08,2009,the imaginarium of doctor parnassus
Rocky V,1990,5.4,155666,rocky v,Rocky V,2019-08-01,1990,rocky v
Stuart Little,1999,6.0,154958,stuart little,Stuart Little,2021-07-01,1999,stuart little
The Originals,2013,8.2,154373,the originals,The Originals,2018-08-09,2018,the originals
Winter's Bone,2010,7.1,154243,winter's bone,Winter's Bone,2019-03-01,2010,winter's bone
A Serious Man,2009,7.0,154100,a serious man,A Serious Man,2018-01-16,2009,a serious man
Triple Frontier,2019,6.5,153498,triple frontier,Triple Frontier,2019-03-13,2019,triple frontier
I Care a Lot,2020,6.4,153460,i care a lot,I Care a Lot,2021-02-19,2021,i care a lot
The Invention of Lying,2009,6.4,153460,the invention of lying,The Invention of Lying,2020-01-01,2009,the invention of lying
